** CONVERTED FROM ss00r01.edf using edfapi 4.2.762.0 Linux   standalone Jul 20 2023 on Thu Oct 17 13:11:11 2024
** DATE: Sat Oct 12 03:26:32 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.51 Mar 13 2010
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH9
** SERIAL NUMBER: CLO-ZAD17
** CAMERA_CONFIG: ZAD17140.SCD
**

MSG	1207252 DISPLAY_COORDS  0 0 1919 1079
MSG	1207264 RECCFG CR 1000 1 1 L
MSG	1207264 ELCLCFG TOWER
MSG	1207264 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1207264 THRESHOLDS L 58 218
MSG	1207264 ELCL_PROC ELLIPSE  (5)
MSG	1207264 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1207265 !MODE RECORD CR 1000 1 1 L
START	1207266 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
1207691	 1019.1	  623.9	 2302.0	...
1207692	 1018.9	  624.7	 2303.0	...
1207693	 1020.2	  622.2	 2303.0	...
1207694	 1020.2	  622.2	 2303.0	...
1207695	 1019.4	  622.2	 2304.0	...
1207696	 1019.4	  622.2	 2305.0	...
1207697	 1016.5	  633.0	 2318.0	...
1207698	 1016.5	  633.0	 2318.0	...
1207699	 1015.7	  635.0	 2324.0	...
1207700	 1015.7	  635.0	 2324.0	...
1207701	 1018.1	  626.1	 2316.0	...
1207702	 1018.9	  626.1	 2315.0	...
1207703	 1018.8	  626.3	 2314.0	...
1207704	 1018.0	  626.2	 2313.0	...
1207705	 1018.0	  626.2	 2314.0	...
1207706	 1017.8	  627.3	 2314.0	...
1207707	 1017.6	  628.4	 2314.0	...
1207708	 1017.4	  633.7	 2311.0	...
1207709	 1017.1	  633.7	 2312.0	...
1207710	 1017.2	  633.2	 2313.0	...
1207711	 1017.8	  632.8	 2314.0	...
1207712	 1018.5	  628.8	 2314.0	...
1207713	 1018.1	  627.5	 2313.0	...
1207714	 1017.5	  627.6	 2313.0	...
1207715	 1019.5	  625.9	 2309.0	...
1207716	 1019.5	  625.9	 2309.0	...
1207717	 1017.2	  625.7	 2321.0	...
1207718	 1017.2	  625.7	 2319.0	...
1207719	 1016.7	  624.8	 2319.0	...
EFIX L   1207515	1207719	205	 1027.9	  620.0	   2280
SSACC L  1207720
1207720	 1016.7	  624.8	 2326.0	...
1207721	 1017.6	  624.9	 2326.0	...
